Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A1 translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A1 translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A3v2 translation score,salamandrata_7b_instruct | P5 GRPO A3v5 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Lexical Diversity,yules k,closer to reference is better,100.45488135632993,97.74589264593355,101.5735725676191,99.47221394812655,100.53583201621922,99.250918432533,102.9312557235266,99.73906124001138,98.85098004132615,100.01901811765973,99.83123294890873,98.34652773086786,98.99060042384122
Lexical Frequency Profile,b1 top 1000,closer to reference is better,0.6686330537376717,0.6656620832548502,0.6691072937200788,0.6689668034315553,0.6698813056379822,0.6681370248709526,0.6712660824165579,0.6697865967802321,0.6711090400745573,0.6710025085942581,0.6707589285714286,0.6690342219352459,0.6693193521205879
Lexical Frequency Profile,b2 1001 2000,closer to reference is better,0.06101944879712416,0.06715012243360331,0.0663662817985544,0.06518090264826558,0.06537462908011869,0.06532144533083059,0.06386350922990863,0.06383377012354924,0.06300093196644921,0.06355105453869739,0.06305803571428571,0.06244811364265289,0.0635708267016197
Lexical Frequency Profile,b3 beyond 2000,closer to reference is better,0.27034749746520415,0.26718779431154643,0.26452642448136676,0.26585229392017906,0.2647440652818991,0.2665415297982168,0.2648704083535335,0.26637963309621865,0.26589002795899347,0.2654464368670445,0.2661830357142857,0.2685176644221013,0.26710982117779236
Morphological Diversity,morph inverse simpson optional,closer to reference is better,2.1461854468595662,2.143346400228772,2.1519879611044086,2.166839847092142,2.1580556068866548,2.1574421823595538,2.1476679024029894,2.1469559254439456,2.132016719767976,2.13169541752727,2.1262369571875532,2.1380967008965346,2.1417798481105574
Morphological Diversity,morph shannon entropy,closer to reference is better,0.7791369250796717,0.7761156585507084,0.7815936489249142,0.785211329548955,0.7821437303791726,0.780914625122039,0.7782594122860457,0.7733428370861765,0.7700611568192244,0.7690506285934494,0.7670292466563036,0.7707542233488222,0.7724308619665119
Morphological Diversity,morph simpson d,closer to reference is better,0.502125235806586,0.503737584165397,0.5013876083681309,0.500769920183533,0.5023288758512119,0.502158874653334,0.50407667272029,0.5059334323607126,0.5073408740428255,0.5085722777024554,0.5094105286673031,0.5069322834223482,0.5060264395391076
Overall,row count,,,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0
Synonym Frequency Analysis,sfa cdu,closer to reference is better,0.3695795241492621,0.37579806690453443,0.3711396526095297,0.37354423035325246,0.3767980666909867,0.3737794825920274,0.36890075697948577,0.37030769790583334,0.37101564107773266,0.3719170140692735,0.3731323022725095,0.3738057134711801,0.3714486769127262
Synonym Frequency Analysis,sfa ptf,closer to reference is better,0.9325639212600999,0.939042076447765,0.9341585507045386,0.9361603055832193,0.9414969359842394,0.9382018771252003,0.9284891508037288,0.9270362424812891,0.9298833095572022,0.9306365664077,0.9316679779243701,0.9335957802336655,0.9274068963173395
Synonym Frequency Analysis,sfa syn ttr,closer to reference is better,0.36797583081570995,0.3484757919904363,0.3584795321637427,0.3579676674364896,0.3568904593639576,0.3546511627906977,0.36064627813040967,0.3646376811594203,0.35965417867435157,0.3633720930232558,0.36127167630057805,0.35528596187175043,0.36347926267281105
