Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Adequacy,bleu,higher is better,,13.827270708598519,16.938558320241746,17.025299281488234,17.786655882051143,16.260349919041758,16.684980912996206,18.814543908437756,18.109469397086386,18.55566205627075,18.04203272683175
Adequacy,chrf pp,higher is better,,38.19301502786102,40.91722350672434,41.61977852071447,42.17714886043721,39.84085857307594,40.988563377769204,43.08288610216765,42.47687985654138,42.9784435996567,42.33997116865326
Adequacy,comet,higher is better,,0.6727850614368915,0.7078702796816826,0.7250773027658463,0.7276728262424469,0.709287800437212,0.7118246780157089,0.7393282746911048,0.7265278219342232,0.7373712830543518,0.7234388332247734
Adequacy,comet qe,higher is better,0.58220346538499,0.5465444668278098,0.6088069049794227,0.6422889131300151,0.6451381705712527,0.6198021520495415,0.6186498339757324,0.6498222553014755,0.6357001556351781,0.6525173910811544,0.6303245814546943
Adequacy,cometkiwi,higher is better,0.58220346538499,0.5465444668278098,0.6088069049794227,0.6422889131300151,0.6451381705712527,0.6198021520495415,0.6186498339757324,0.6498222553014755,0.6357001556351781,0.6525173910811544,0.6303245814546943
Adequacy,metricx,lower is better,,7.936882032957673,6.312020510289073,5.690422712522746,5.68159652801454,5.975999822944403,6.183939892867207,5.0791003391861915,5.584520342224836,5.216055940133333,5.652751007181406
Adequacy,ter,lower is better,,76.6789828298196,73.93863652829094,74.27189741360574,72.70520901253352,75.98891545316235,72.49692095921176,70.15141635876259,70.79258132290082,70.8378613344925,70.60602767514308
Adequacy,xcomet,higher is better,,0.5942344328440726,0.6855528546337039,0.7119666679684072,0.7141463827699422,0.6901763507284224,0.6911116675406694,0.7476736308038234,0.7241431935474276,0.7417968646556139,0.7192209234178066
Astred,aligned source ratio,,,0.8191762892238997,0.8306991676739411,0.8099078258393198,0.8125348190038957,0.7702696624810443,0.8295991253941618,0.8282638695473562,0.8288056933691456,0.8232834315861037,0.8317647178520928
Astred,aligned target ratio,,,0.7668656885550912,0.7889983568973628,0.8010281732659397,0.8013230221516553,0.8032008930197378,0.7907530454452971,0.7991685463145655,0.7998706424280776,0.8082890775210285,0.7973163072378003
Astred,aligned word pairs,,,20.397254575707155,20.850119056477414,21.227970946579195,21.55223880597015,21.382198074315284,20.57851946940522,20.26049985211476,20.553598808860578,20.4406580493537,20.290139808682856
Astred,rows eligible,,,2405.0,2416.0,2425.0,2479.0,2424.0,2337.0,2254.0,2279.0,2257.0,2265.0
Astred,rows excluded sentence count mismatch,,,95.0,84.0,75.0,21.0,76.0,163.0,246.0,221.0,243.0,235.0
