baseline	candidate	metric	direction	status	skip_reason	paired_rows	baseline_mean	candidate_mean	mean_delta_candidate_minus_baseline	bootstrap_ci_95_lower	bootstrap_ci_95_upper	randomization_p_value	holm_adjusted_p_value
P5_GRPO_A2	P5_GRPO_A5	sentence_bleu	higher_is_better	ok		2000	16.582988067644568	16.59840252622206	0.015414458577493377	-0.5265770317664664	0.5626575936490967	0.9557044295570443	1.0
P5_GRPO_A2	P5_GRPO_A5	sentence_chrf_pp	higher_is_better	ok		2000	47.51147918436297	45.58531775130663	-1.926161433056335	-2.4113131673830543	-1.4389747187075927	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	sentence_xcomet	higher_is_better	ok		2000	0.7674701714329419	0.7539494648389516	-0.01352070659399032	-0.020483460677042594	-0.006653654342889791	0.00029997000299970003	0.0029997000299970002
P5_GRPO_A2	P5_GRPO_A5	astred_ted	lower_is_better	ok		1765	9.881890934953518	9.674768297091175	-0.2071226378623439	-0.7690565813924379	0.5543850179810988	0.6143385661433857	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_word_cross	lower_is_better	ok		1765	7.884903872388121	7.685655464895278	-0.1992484074928418	-0.6698628308866678	0.2669405488283803	0.40685931406859316	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_seq_cross	lower_is_better	ok		1765	4.314263135946014	4.3478476849187215	0.03358454897270687	-0.28282393846419057	0.3567027245646974	0.8333166683331666	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_sacr_cross	lower_is_better	ok		1765	5.274338852388859	5.329504507350626	0.055165654961767424	-0.3013020646856286	0.42256392891755434	0.7775222477752225	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_ted	lower_is_better	ok		1792	12.950732774124186	13.218164298559783	0.2674315244355999	-0.3368642735588159	1.0730775140027533	0.49535046495350465	1.0
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_word_cross	lower_is_better	ok		1792	11.284317923378397	10.592168096798563	-0.6921498265798368	-1.2052076961946743	-0.1491531436643249	0.0082991700829917	0.0746925307469253
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_seq_cross	lower_is_better	ok		1792	8.582157020995142	8.09376732715054	-0.4883896938446047	-0.9656692846744273	0.0024832401317708146	0.046495350464953504	0.3254674532546745
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_sacr_cross	lower_is_better	ok		1792	9.510838019379381	8.980187367127872	-0.530650652251511	-1.013462241793965	-0.01634953292995517	0.036396360363963605	0.29117088291170884
