baseline	candidate	metric	direction	status	skip_reason	paired_rows	baseline_mean	candidate_mean	mean_delta_candidate_minus_baseline	bootstrap_ci_95_lower	bootstrap_ci_95_upper	randomization_p_value	holm_adjusted_p_value
P5_GRPO_A2	P5_GRPO_A5	sentence_bleu	higher_is_better	ok		2000	54.02311927834002	56.23071761533353	2.207598336993513	1.6387946540425558	2.7811819050798063	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	sentence_chrf_pp	higher_is_better	ok		2000	73.63858038055642	74.60771803520022	0.9691376546437815	0.6066400758379683	1.3189002547818423	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	sentence_xcomet	higher_is_better	ok		2000	0.9031750830858943	0.8917687704563139	-0.0114063126295805	-0.014191165040060886	-0.008614069732278594	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_ted	lower_is_better	ok		1916	4.854873296790535	4.436664965463479	-0.41820833132705615	-0.5223561184796982	-0.3148005510180527	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_word_cross	lower_is_better	ok		1916	1.770861659910489	1.68434464858606	-0.08651701132442913	-0.2523431072362499	0.07150144592632571	0.2973702629737026	0.4736526347365263
P5_GRPO_A2	P5_GRPO_A5	astred_seq_cross	lower_is_better	ok		1916	0.6550093794691543	0.5990473267545038	-0.055962052714650434	-0.13852841997600215	0.013225403057715778	0.1578842115788421	0.4736526347365263
P5_GRPO_A2	P5_GRPO_A5	astred_sacr_cross	lower_is_better	ok		1916	0.8302463576329622	0.768856472235319	-0.06138988539764304	-0.14988689655111403	0.02160447659335426	0.16718328167183283	0.4736526347365263
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_ted	lower_is_better	ok		1850	8.697318017281583	8.304353650261099	-0.3929643670204844	-0.47947960375454596	-0.30726644190920066	9.999000099990002e-05	0.0010998900109989002
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_word_cross	lower_is_better	ok		1850	2.6767019156430076	2.547587419144501	-0.12911449649850618	-0.24567798476725272	-0.005852774578322815	0.030596940305969402	0.152984701529847
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_seq_cross	lower_is_better	ok		1850	1.7902909313701012	1.7320328047383837	-0.058258126631717484	-0.12163526121518922	0.008030769125001351	0.07529247075292471	0.30116988301169884
P5_GRPO_A2	P5_GRPO_A5	astred_source_prediction_sacr_cross	lower_is_better	ok		1850	2.066494619165198	1.9694832320785396	-0.09701138708665848	-0.1756672882230789	-0.013031405134865661	0.020097990200979902	0.12058794120587941
